"","mouse.names","human.names","mouse.ensemble"
"1","Banf1","BANF1","ENSMUSG00000024844"
"2","Pde9a","PDE9A","ENSMUSG00000041119"
"3","Asrgl1","ASRGL1","ENSMUSG00000024654"
"4","Clpb","CLPB","ENSMUSG00000001829"
"5","Emd","EMD","ENSMUSG00000001964"
"6","Anxa1","ANXA1","ENSMUSG00000024659"
"7","Atp5mk","ATP5MK","ENSMUSG00000071528"
"8","Fkbp15","FKBP15","ENSMUSG00000066151"
"9","Cfap65","CFAP65","ENSMUSG00000047021"
"10","Plb1","PLB1","ENSMUSG00000029134"
"11","Ap1g2","AP1G2","ENSMUSG00000040701"
"12","Mmut","MMUT","ENSMUSG00000023921"
"13","Nalf2","NALF2","ENSMUSG00000071719"
"14","Polr3gl","POLR3GL","ENSMUSG00000028104"
"15","Gal","GAL","ENSMUSG00000024907"
"16","Setd1b","SETD1B","ENSMUSG00000038384"
"17","Tbr1","TBR1","ENSMUSG00000035033"
"18","Tbx2","TBX2","ENSMUSG00000000093"
"19","Imp4","IMP4","ENSMUSG00000026127"
"20","Mks1","MKS1","ENSMUSG00000034121"
"21","Adar","ADAR","ENSMUSG00000027951"
"22","Prr15l","PRR15L","ENSMUSG00000047040"
"23","Atad1","ATAD1","ENSMUSG00000013662"
"24","Gsk3b","GSK3B","ENSMUSG00000022812"
"25","Acd","ACD","ENSMUSG00000038000"
"26","Aifm2","AIFM2","ENSMUSG00000020085"
"27","Nus1","NUS1","ENSMUSG00000023068"
"28","Rpe65","RPE65","ENSMUSG00000028174"
"29","Cldn4","CLDN4","ENSMUSG00000047501"
"30","Cldn3","CLDN3","ENSMUSG00000070473"
"31","Cldn6","CLDN6","ENSMUSG00000023906"
"32","Cldn9","CLDN9","ENSMUSG00000066720"
"33","Stx1b","STX1B","ENSMUSG00000030806"
"34","Ppard","PPARD","ENSMUSG00000002250"
"35","Igfbp2","IGFBP2","ENSMUSG00000039323"
"36","Dll3","DLL3","ENSMUSG00000003436"
"37","Dbx1","DBX1","ENSMUSG00000030507"
"38","Dbx2","DBX2","ENSMUSG00000045608"
"39","Pbx4","PBX4","ENSMUSG00000031860"
"40","Calr3","CALR3","ENSMUSG00000019732"
"41","Urod","UROD","ENSMUSG00000028684"
"42","Mixl1","MIXL1","ENSMUSG00000026497"
"43","Kifc5b","KIFC1","ENSMUSG00000024301"
"45","Col11a2","COL11A2","ENSMUSG00000024330"
"46","Bmp7","BMP7","ENSMUSG00000008999"
"47","Ccl27a","CCL27","ENSMUSG00000073888"
"50","Zic1","ZIC1","ENSMUSG00000032368"
"51","Robo1","ROBO1","ENSMUSG00000022883"
"52","Robo3","ROBO3","ENSMUSG00000032128"
"53","Tpst1","TPST1","ENSMUSG00000034118"
"54","Btg2","BTG2","ENSMUSG00000020423"
"55","Elavl1","ELAVL1","ENSMUSG00000040028"
"56","Rbp4","RBP4","ENSMUSG00000024990"
"57","Cat","CAT","ENSMUSG00000027187"
"58","Inhba","INHBA","ENSMUSG00000041324"
"59","Meis2","MEIS2","ENSMUSG00000027210"
"60","Khdrbs1","KHDRBS1","ENSMUSG00000028790"
"61","Tle5","TLE5","ENSMUSG00000054452"
"62","Vdr","VDR","ENSMUSG00000022479"
"63","Nme1","NME1","ENSMUSG00000037601"
"64","Nme3","NME3","ENSMUSG00000073435"
"65","Nme7","NME7","ENSMUSG00000026575"
"66","Twist1","TWIST1","ENSMUSG00000035799"
"67","Pcna","PCNA","ENSMUSG00000027342"
"68","Igf2bp3","IGF2BP3","ENSMUSG00000029814"
"69","Tnnt3","TNNT3","ENSMUSG00000061723"
"70","Myh13","MYH13","ENSMUSG00000060180"
"71","Myh3","MYH3","ENSMUSG00000020908"
"72","Myh8","MYH8","ENSMUSG00000055775"
"73","Myh2","MYH2","ENSMUSG00000033196"
"74","Myh1","MYH1","ENSMUSG00000056328"
"75","Myh4","MYH4","ENSMUSG00000057003"
"76","Myl1","MYL1","ENSMUSG00000061816"
"77","Fzd8","FZD8","ENSMUSG00000036904"
"78","Hoxc9","HOXC9","ENSMUSG00000036139"
"79","Actb","ACTB","ENSMUSG00000029580"
"80","Actg1","ACTG1","ENSMUSG00000062825"
"81","Hacd4","HACD4","ENSMUSG00000028497"
"82","Hoxc12","HOXC12","ENSMUSG00000050328"
"83","Hoxb7","HOXB7","ENSMUSG00000038721"
"84","Notch2","NOTCH2","ENSMUSG00000027878"
"85","Notch3","NOTCH3","ENSMUSG00000038146"
"86","Actn3","ACTN3","ENSMUSG00000006457"
"87","Or12d17","OR12D3","ENSMUSG00000029184"
"88","Or5k17","OR5K4","ENSMUSG00000090951"
"89","Or4a72","OR4A16","ENSMUSG00000111456"
"91","Or10j3b","OR10J3","ENSMUSG00000049456"
"92","Or4e2","OR4E2","ENSMUSG00000035626"
"93","Or4e5","OR4E1","ENSMUSG00000059887"
"95","Or10k2","OR10K2","ENSMUSG00000047286"
"96","Trpc4ap","TRPC4AP","ENSMUSG00000038324"
"97","Cdc25b","CDC25B","ENSMUSG00000027330"
"98","Cdc25a","CDC25A","ENSMUSG00000032477"
"99","Cdc25c","CDC25C","ENSMUSG00000044201"
"100","Blcap","BLCAP","ENSMUSG00000067787"
"101","Coil","COIL","ENSMUSG00000033983"
"102","Psen2","PSEN2","ENSMUSG00000010609"
"103","Axin1","AXIN1","ENSMUSG00000024182"
"104","Axin2","AXIN2","ENSMUSG00000000142"
"105","Pbx1","PBX1","ENSMUSG00000052534"
"106","Pbx3","PBX3","ENSMUSG00000038718"
"107","Pbx2","PBX2","ENSMUSG00000034673"
"108","Pitpnm3","PITPNM3","ENSMUSG00000040543"
"109","Mesp1","MESP1","ENSMUSG00000030544"
"110","Mesp2","MESP2","ENSMUSG00000030543"
"111","Bdnf","BDNF","ENSMUSG00000048482"
"112","Fn1","FN1","ENSMUSG00000026193"
"113","Mbl2","MBL2","ENSMUSG00000024863"
"114","Sftpd","SFTPD","ENSMUSG00000021795"
"115","Mbl1","MBL1P","ENSMUSG00000037780"
"116","P2rx3","P2RX3","ENSMUSG00000027071"
"117","Spon1","SPON1","ENSMUSG00000038156"
"118","Celf3","CELF3","ENSMUSG00000028137"
"119","Bmpr1a","BMPR1A","ENSMUSG00000021796"
"120","Dct","DCT","ENSMUSG00000022129"
"121","Smad3","SMAD3","ENSMUSG00000032402"
"122","Rheb","RHEB","ENSMUSG00000028945"
"123","Rhebl1","RHEBL1","ENSMUSG00000023755"
"124","Hand2","HAND2","ENSMUSG00000038193"
"125","Pycard","PYCARD","ENSMUSG00000030793"
"126","Dap","DAP","ENSMUSG00000039168"
"127","Dapl1","DAPL1","ENSMUSG00000026989"
"128","Tradd","TRADD","ENSMUSG00000031887"
"129","Bax","BAX","ENSMUSG00000003873"
"130","Fbxw4","FBXW4","ENSMUSG00000040913"
"131","Pou4f1","POU4F1","ENSMUSG00000048349"
"132","Copz2","COPZ2","ENSMUSG00000018672"
"133","Hey2","HEY2","ENSMUSG00000019789"
"134","Ctsk","CTSK","ENSMUSG00000028111"
"135","Pcdh18","PCDH18","ENSMUSG00000037892"
"136","Slc7a6","SLC7A6","ENSMUSG00000031904"
"137","Adgrl2","ADGRL2","ENSMUSG00000028184"
"138","Kat6b","KAT6B","ENSMUSG00000021767"
"139","Evl","EVL","ENSMUSG00000021262"
"140","Hey1","HEY1","ENSMUSG00000040289"
"141","Noc2l","NOC2L","ENSMUSG00000095567"
"142","Hccs","HCCS","ENSMUSG00000031352"
"143","Wwp2","WWP2","ENSMUSG00000031930"
"144","Runx3","RUNX3","ENSMUSG00000070691"
"145","Krt77","KRT77","ENSMUSG00000067594"
"146","Krt74","KRT74","ENSMUSG00000067596"
"147","Krt76","KRT76","ENSMUSG00000075402"
"148","Krt1","KRT1","ENSMUSG00000046834"
"149","Krt90","KRT90P","ENSMUSG00000048699"
"150","Krt73","KRT73","ENSMUSG00000063661"
"151","Krt72","KRT72","ENSMUSG00000056605"
"152","Krt7","KRT7","ENSMUSG00000023039"
"153","Krt8","KRT8","ENSMUSG00000049382"
"154","Krt2","KRT2","ENSMUSG00000064201"
"155","Krt79","KRT79","ENSMUSG00000061397"
"156","Krt75","KRT75","ENSMUSG00000022986"
"157","Krt71","KRT71","ENSMUSG00000051879"
"158","Krt4","KRT4","ENSMUSG00000059668"
"159","Bad","BAD","ENSMUSG00000024959"
"160","Lsm2","LSM2","ENSMUSG00000007050"
"161","Stk19","STK19","ENSMUSG00000061207"
"162","App","APP","ENSMUSG00000022892"
"163","Gart","GART","ENSMUSG00000022962"
"164","Foxh1","FOXH1","ENSMUSG00000033837"
"165","Hsf1","HSF1","ENSMUSG00000022556"
"166","Dedd2","DEDD2","ENSMUSG00000054499"
"167","Casp1","CASP1","ENSMUSG00000025888"
"168","Casp12","CASP12","ENSMUSG00000025887"
"169","Apaf1","APAF1","ENSMUSG00000019979"
"170","Myf5","MYF5","ENSMUSG00000000435"
"171","Prph2","PRPH2","ENSMUSG00000023978"
"172","Cxcl14","CXCL14","ENSMUSG00000021508"
"173","Gata6","GATA6","ENSMUSG00000005836"
"174","Tnnt2","TNNT2","ENSMUSG00000026414"
"175","Fabp7","FABP7","ENSMUSG00000019874"
"176","Ngf","NGF","ENSMUSG00000027859"
"177","Ybx1","YBX1","ENSMUSG00000028639"
"178","Gpr173","GPR173","ENSMUSG00000056679"
"179","Gpr85","GPR85","ENSMUSG00000048216"
"180","Nme6","NME6","ENSMUSG00000032478"
"181","Zic2","ZIC2","ENSMUSG00000061524"
"182","Duxbl1","DUXB","ENSMUSG00000048502"
"183","Casp8","CASP8","ENSMUSG00000026029"
"184","Per3","PER3","ENSMUSG00000028957"
"185","Fgfr3","FGFR3","ENSMUSG00000054252"
"186","Hoxc6","HOXC6","ENSMUSG00000001661"
"187","Hoxd1","HOXD1","ENSMUSG00000042448"
"188","Hoxc11","HOXC11","ENSMUSG00000001656"
"189","Hoxc13","HOXC13","ENSMUSG00000001655"
"190","Hoxa9","HOXA9","ENSMUSG00000038227"
"191","Hoxa3","HOXA3","ENSMUSG00000079560"
"192","Hoxa4","HOXA4","ENSMUSG00000000942"
"193","Hoxa1","HOXA1","ENSMUSG00000029844"
"194","Hoxb5","HOXB5","ENSMUSG00000038700"
"195","Hoxb6","HOXB6","ENSMUSG00000000690"
"196","Hoxa11","HOXA11","ENSMUSG00000038210"
"197","Hoxa5","HOXA5","ENSMUSG00000038253"
"198","Scn8a","SCN8A","ENSMUSG00000023033"
"199","Nkx2-4","NKX2-4","ENSMUSG00000054160"
"200","Adarb1","ADARB1","ENSMUSG00000020262"
"201","Pcx","PC","ENSMUSG00000024892"
"202","Fth1","FTH1","ENSMUSG00000024661"
"203","Ftmt","FTMT","ENSMUSG00000024510"
"204","Dnajc3","DNAJC3","ENSMUSG00000022136"
"205","Cd81","CD81","ENSMUSG00000037706"
"206","Pim2","PIM2","ENSMUSG00000031155"
"207","Cd74","CD74","ENSMUSG00000024610"
"208","Sptb","SPTB","ENSMUSG00000021061"
"209","Hspe1","HSPE1","ENSMUSG00000073676"
"211","Ctnnbip1","CTNNBIP1","ENSMUSG00000028988"
"212","Fzd9","FZD9","ENSMUSG00000049551"
"213","Edn1","EDN1","ENSMUSG00000021367"
"214","Pdp2","PDP2","ENSMUSG00000048371"
"215","Atoh7","ATOH7","ENSMUSG00000036816"
"216","Fech","FECH","ENSMUSG00000024588"
"217","Fgf4","FGF4","ENSMUSG00000050917"
"218","Robo2","ROBO2","ENSMUSG00000052516"
"219","Hmx3","HMX3","ENSMUSG00000040148"
"220","Pax5","PAX5","ENSMUSG00000014030"
"221","Pax8","PAX8","ENSMUSG00000026976"
"222","Pax2","PAX2","ENSMUSG00000004231"
"223","Pax6","PAX6","ENSMUSG00000027168"
"224","Nos1","NOS1","ENSMUSG00000029361"
"225","Fezf2","FEZF2","ENSMUSG00000021743"
"226","Cyp19a1","CYP19A1","ENSMUSG00000032274"
"227","Cldn7","CLDN7","ENSMUSG00000018569"
"228","Wnt3a","WNT3A","ENSMUSG00000009900"
"229","Lima1","LIMA1","ENSMUSG00000023022"
"230","H2-Ob","HLA-DOB","ENSMUSG00000041538"
"231","Star","STAR","ENSMUSG00000031574"
"232","Atp1b3","ATP1B3","ENSMUSG00000032412"
"233","Atp1b2","ATP1B2","ENSMUSG00000041329"
"234","Atp1b1","ATP1B1","ENSMUSG00000026576"
"235","Sox9","SOX9","ENSMUSG00000000567"
"236","Plp1","PLP1","ENSMUSG00000031425"
"237","Csf1r","CSF1R","ENSMUSG00000024621"
"238","Aox3","AOX3P","ENSMUSG00000064294"
"239","Aox2","AOX2P","ENSMUSG00000079554"
"240","Aox1","AOX1","ENSMUSG00000063558"
"241","Lbx2","LBX2","ENSMUSG00000034968"
"242","Supt5","SUPT5H","ENSMUSG00000003435"
"243","Arnt2","ARNT2","ENSMUSG00000015709"
"244","Epha4","EPHA4","ENSMUSG00000026235"
"245","Atp1a1","ATP1A1","ENSMUSG00000033161"
"246","Atp1a3","ATP1A3","ENSMUSG00000040907"
"247","Htatip2","HTATIP2","ENSMUSG00000039745"
"248","Nrf1","NRF1","ENSMUSG00000058440"
"249","Vsx2","VSX2","ENSMUSG00000021239"
"250","Eomes","EOMES","ENSMUSG00000032446"
"251","S1pr1","S1PR1","ENSMUSG00000045092"
"252","Alas2","ALAS2","ENSMUSG00000025270"
"253","Dcn","DCN","ENSMUSG00000019929"
"254","Hsd17b8","HSD17B8","ENSMUSG00000073422"
"255","Tapbp","TAPBP","ENSMUSG00000024308"
"256","Daxx","DAXX","ENSMUSG00000002307"
"257","Zbtb22","ZBTB22","ENSMUSG00000051390"
"258","Oprm1","OPRM1","ENSMUSG00000000766"
"259","Ntrk2","NTRK2","ENSMUSG00000055254"
"260","Ntrk3","NTRK3","ENSMUSG00000059146"
"261","Ctbp1","CTBP1","ENSMUSG00000037373"
"262","Ctbp2","CTBP2","ENSMUSG00000030970"
"263","Rgl2","RGL2","ENSMUSG00000041354"
"264","Rpa2","RPA2","ENSMUSG00000028884"
"265","Mdk","MDK","ENSMUSG00000027239"
"266","Prss2","PRSS2","ENSMUSG00000057163"
"267","Ctsd","CTSD","ENSMUSG00000007891"
"268","Six4","SIX4","ENSMUSG00000034460"
"269","Six5","SIX5","ENSMUSG00000040841"
"270","Mapk8","MAPK8","ENSMUSG00000021936"
"271","Mapk14","MAPK14","ENSMUSG00000053436"
"272","Map2k6","MAP2K6","ENSMUSG00000020623"
"273","Gcg","GCG","ENSMUSG00000000394"
"274","Gdnf","GDNF","ENSMUSG00000022144"
"275","Gfra1","GFRA1","ENSMUSG00000025089"
"276","Foxc1","FOXC1","ENSMUSG00000050295"
"277","Agxt","AGXT","ENSMUSG00000026272"
"278","Slit2","SLIT2","ENSMUSG00000031558"
"279","Slit3","SLIT3","ENSMUSG00000056427"
"280","Or4b1","OR4B1","ENSMUSG00000075065"
"281","Or2a12","OR2A12","ENSMUSG00000073111"
"282","Or1j19","OR1J2","ENSMUSG00000049315"
"283","Or8b12c","OR8B12","ENSMUSG00000066750"
"284","Or5p76","OR5P2","ENSMUSG00000058014"
"285","Or8w1","OR5W2","ENSMUSG00000068818"
"286","Or5b106","OR5B3","ENSMUSG00000057503"
"287","Or4c115","OR4C15","ENSMUSG00000101480"
"288","Or4s2","OR4S2","ENSMUSG00000081948"
"289","Or5p80","OR5P3","ENSMUSG00000063764"
"290","Or8g17","OR8G5","ENSMUSG00000058820"
"291","Or9i14","OR9I1","ENSMUSG00000045395"
"292","Or1n2","OR1N2","ENSMUSG00000055088"
"295","Or8k18","OR8K5","ENSMUSG00000075194"
"300","Or5b99","OR5B2","ENSMUSG00000046913"
"302","Or7g33","OR7G2","ENSMUSG00000051160"
"303","Or1n1b","OR1N1","ENSMUSG00000075382"
"304","Or8g19","OR8G1","ENSMUSG00000049708"
"307","Or2a25","OR2A25","ENSMUSG00000045708"
"308","Or4k15","OR4K15","ENSMUSG00000059488"
"314","Or7g12","OR7G3","ENSMUSG00000095525"
"317","Or8d1b","OR8D1","ENSMUSG00000058515"
"318","Or1l4b","OR1L4","ENSMUSG00000078198"
"319","Or1f12","OR1F12P","ENSMUSG00000048996"
"320","Or1i2","OR1I1","ENSMUSG00000071185"
"322","Or1m1","OR1M1","ENSMUSG00000054141"
"323","Or4c126","OR4C45","ENSMUSG00000061295"
"324","Or1l8","OR1L8","ENSMUSG00000075380"
"325","Or8b8","OR8B8","ENSMUSG00000066748"
"326","Or1q1","OR1Q1","ENSMUSG00000055838"
"327","Or1j1","OR1J1","ENSMUSG00000075384"
"329","Or5au1","OR5AU1","ENSMUSG00000044286"
"334","Or9q1","OR9Q1","ENSMUSG00000054526"
"336","Or1j4","OR1J4","ENSMUSG00000050015"
"337","Or2a54","OR2A14","ENSMUSG00000094669"
"338","Klf17","KLF17","ENSMUSG00000048626"
"339","Dvl3","DVL3","ENSMUSG00000003233"
"340","Ttc7","TTC7A","ENSMUSG00000036918"
"341","Nacc1","NACC1","ENSMUSG00000001910"
"342","Siah1a","SIAH1","ENSMUSG00000036840"
"344","Pard6g","PARD6G","ENSMUSG00000056214"
"345","Rnd3","RND3","ENSMUSG00000017144"
"346","Cdk7","CDK7","ENSMUSG00000069089"
"347","Papss2","PAPSS2","ENSMUSG00000024899"
"349","Cldn1","CLDN1","ENSMUSG00000022512"
"350","Cldn11","CLDN11","ENSMUSG00000037625"
"351","Cldn12","CLDN12","ENSMUSG00000046798"
"352","Hip1","HIP1","ENSMUSG00000039959"
"353","Baz1b","BAZ1B","ENSMUSG00000002748"
"354","Or2at4","OR2AT4","ENSMUSG00000073998"
"362","Or4d1","OR4D1","ENSMUSG00000060787"
"364","Hap1","HAP1","ENSMUSG00000006930"
"365","Gtf2ird1","GTF2IRD1","ENSMUSG00000023079"
"366","Eif4h","EIF4H","ENSMUSG00000040731"
"367","Crx","CRX","ENSMUSG00000041578"
"368","Nkx2-1","NKX2-1","ENSMUSG00000001496"
"369","Anxa13","ANXA13","ENSMUSG00000055114"
"370","Ncoa2","NCOA2","ENSMUSG00000005886"
"371","Vipr2","VIPR2","ENSMUSG00000011171"
"372","Glrb","GLRB","ENSMUSG00000028020"
"373","Glra4","GLRA4","ENSMUSG00000018595"
"374","Six2","SIX2","ENSMUSG00000024134"
"375","Ssr2","SSR2","ENSMUSG00000041355"
"376","Bambi","BAMBI","ENSMUSG00000024232"
"377","Dmd","DMD","ENSMUSG00000045103"
"378","Nfya","NFYA","ENSMUSG00000023994"
"379","Pbrm1","PBRM1","ENSMUSG00000042323"
"380","Prrc2a","PRRC2A","ENSMUSG00000024393"
"381","Bag6","BAG6","ENSMUSG00000024392"
"382","Ehmt2","EHMT2","ENSMUSG00000013787"
"383","Hmga1b","HMGA1","ENSMUSG00000078249"
"385","Ucp1","UCP1","ENSMUSG00000031710"
"386","Nr5a1","NR5A1","ENSMUSG00000026751"
"387","Pnpla7","PNPLA7","ENSMUSG00000036833"
"388","Clic3","CLIC3","ENSMUSG00000015093"
"389","Bco1","BCO1","ENSMUSG00000031845"
"390","Bco2","BCO2","ENSMUSG00000032066"
"391","Twsg1","TWSG1","ENSMUSG00000024098"
"392","Rpgrip1l","RPGRIP1L","ENSMUSG00000033282"
"393","Cp","CP","ENSMUSG00000003617"
"394","Cry1","CRY1","ENSMUSG00000020038"
"395","Mpz","MPZ","ENSMUSG00000056569"
"396","Arf1","ARF1","ENSMUSG00000048076"
"397","Fh1","FH","ENSMUSG00000026526"
"398","Apom","APOM","ENSMUSG00000024391"
"399","Cdh3","CDH3","ENSMUSG00000061048"
"400","Cdh1","CDH1","ENSMUSG00000000303"
"401","Ube2i","UBE2I","ENSMUSG00000015120"
"402","Igf1","IGF1","ENSMUSG00000020053"
"403","Gja8","GJA8","ENSMUSG00000049908"
"404","Neurod6","NEUROD6","ENSMUSG00000037984"
"405","Neurog3","NEUROG3","ENSMUSG00000044312"
"406","Cebpe","CEBPE","ENSMUSG00000052435"
"407","Cxcr4","CXCR4","ENSMUSG00000045382"
"408","Efnb2","EFNB2","ENSMUSG00000001300"
"409","Efnb1","EFNB1","ENSMUSG00000031217"
"410","Efnb3","EFNB3","ENSMUSG00000003934"
"411","Zeb1","ZEB1","ENSMUSG00000024238"
"412","Zp1","ZP1","ENSMUSG00000024734"
"413","Dusp5","DUSP5","ENSMUSG00000034765"
"414","Lmo4","LMO4","ENSMUSG00000028266"
"415","Gng3","GNG3","ENSMUSG00000071658"
"416","Cnmd","CNMD","ENSMUSG00000022025"
"417","Irx1","IRX1","ENSMUSG00000060969"
"418","Irx5","IRX5","ENSMUSG00000031737"
"419","Lcat","LCAT","ENSMUSG00000035237"
"420","Zfp703","ZNF703","ENSMUSG00000085795"
"421","Blzf1","BLZF1","ENSMUSG00000026577"
"422","Epha3","EPHA3","ENSMUSG00000052504"
"423","Ppp1r12c","PPP1R12C","ENSMUSG00000019254"
"424","Casq2","CASQ2","ENSMUSG00000027861"
"425","Rps9","RPS9","ENSMUSG00000006333"
"426","Dnase2a","DNASE2","ENSMUSG00000003812"
"427","Erf","ERF","ENSMUSG00000040857"
"428","Apoe","APOE","ENSMUSG00000002985"
"429","Capn9","CAPN9","ENSMUSG00000031981"
